,version,precio,combustible,CV,km,lugar,año,link,modelo,marca
569,Citroen Berlingo Multispace 1.6BlueHDi Live 75,9.9,  Diesel,Unknown,                 111.000               ,                              Madrid             ,2016,https://www.coches.com/coches-segunda-mano/ocasion-citroen-berlingo-multispace-16bluehdi-live-75-en-madrid.htm?id=6845867,Berlingo,Citroen
570,Volkswagen Beetle 1.6,3.45,  Gasolina,Unknown,                 239.000               ,                              Madrid             ,2006,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-beetle-16-en-madrid.htm?id=6844777,Beetle,Volkswagen
571,Chevrolet Captiva 2.2VCDI LT FWD,9.499,  Diesel,Unknown,                 144.000               ,                              Jaen             ,2012,https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-captiva-22vcdi-lt-fwd-en-jaen.htm?id=6844637,Captiva,Chevrolet
572,Bmw X4 M40dA,55.9,  Diesel,Unknown,                 23.500               ,                              Tarragona             ,2018,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x4-m40da-en-tarragona.htm?id=6844611,X4,Bmw
573,Seat Ateca 1.4 EcoTSI S&S Style,20.1,  Gasolina,Unknown,                 55.000               ,                              Valencia             ,2018,https://www.coches.com/coches-segunda-mano/ocasion-seat-ateca-14-ecotsi-s_s-style-en-valencia.htm?id=6844485,Ateca,Seat
574,Infiniti FX 30d GT Premium Aut.,17.0,  Diesel,Unknown,                 120.000               ,                              Castellon             ,2010,https://www.coches.com/coches-segunda-mano/ocasion-infiniti-fx-30d-gt-premium-aut-en-castellon.htm?id=6843797,FX,Infiniti
575,Citroen Berlingo BlueHDi S&S Talla M Live 100,10.2,  Diesel,Unknown,                 168.000               ,                              Vizcaya             ,2018,https://www.coches.com/coches-segunda-mano/ocasion-citroen-berlingo-bluehdi-s_s-talla-m-live-100-en-vizcaya.htm?id=6843701,Berlingo,Citroen
576,Citroen C4 Picasso 2.0BlueHDi Intensive 150,11.99,  Diesel,Unknown,                 104.000               ,"                              Palmas, Las             ",2014,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-picasso-20bluehdi-intensive-150-en-palmas+las.htm?id=6843681,C4,Citroen
577,Volvo XC40 D4 R-Design AWD Aut.,28.39,  Diesel,Unknown,                 121.362               ,                              Madrid             ,2018,https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc40-d4-r-design-awd-aut-en-madrid.htm?id=6843503,XC40,Volvo
578,Mercedes Clase EE 220 CDI,6.4,  Diesel,Unknown,                 97.120               ,                              Murcia             ,2003,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+e-e-220-cdi-en-murcia.htm?id=6843405,Clase,Mercedes
579,Peugeot 308 SW 1.2 PureTech S&S GT Line 130,9.19,  Gasolina,Unknown,                 116.884               ,                              Madrid             ,2016,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-308-sw-12-puretech-s_s-gt-line-130-en-madrid.htm?id=6843403,308,Peugeot
580,Bmw Serie 4440iA Coupé,37.9,  Gasolina,Unknown,                 94.000               ,"                              Rioja, La             ",2017,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+4-440ia-coupe-en-rioja+la.htm?id=6830673,Serie4440iA,Bmw
581,Mazda MX-5 1.5 Origin Navy Soft Top,16.49,  Gasolina,Unknown,                 39.000               ,"                              Palmas, Las             ",2017,https://www.coches.com/coches-segunda-mano/ocasion-mazda-mx-5-15-origin-navy-soft-top-en-palmas+las.htm?id=6830481,MX-5,Mazda
582,Land Rover Range … 2.0D MHEV R-Dynamic S AWD Aut. 180,43.9,  Diesel,Unknown,                 22.900               ,                              Madrid             ,2020,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+evoque-20d-mhev-r-dynamic-s-awd-aut-180-en-madrid.htm?id=6830375,Rover,Land
583,Bmw Serie 5528iA Touring,17.45,  Gasolina,Unknown,                 109.589               ,                              Madrid             ,2011,https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-528ia-touring-en-madrid.htm?id=6829379,Serie5528iA,Bmw
584,Mercedes Clase CC Estate 200CDI BE Avantgarde,8.9,  Diesel,Unknown,                 245.742               ,                              Madrid             ,2012,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-estate-200cdi-be-avantgarde-en-madrid.htm?id=6829327,Clase,Mercedes
585,Opel Astra 1.9CDTi Cosmo,2.6,  Diesel,Unknown,                 215.000               ,"                              Coruña, A             ",2005,https://www.coches.com/coches-segunda-mano/ocasion-opel-astra-19cdti-cosmo-en-coruna+a.htm?id=6829237,Astra,Opel
586,Mercedes EQB 300 4Matic,59.9,  Eléctrico,Unknown,                 4.700               ,"                              Palmas, Las             ",2021,https://www.coches.com/km0/seminuevo-mercedes-eqb-300-4matic-en-palmas+las.htm?id=6829211,EQB,Mercedes
587,Mercedes Clase CC 220 CDI Elegance,2.99,  Diesel,Unknown,                 259.000               ,                              Lleida             ,2002,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-220-cdi-elegance-en-lleida.htm?id=6829193,Clase,Mercedes
588,Suzuki Grand Vita… XL-7 2.0 DLX,8.5,  Diesel,Unknown,                 259.900               ,                              Lugo             ,2005,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-grand+vitara-xl-7-20-dlx-en-lugo.htm?id=6829147,Grand,Suzuki
589,Ford Focus 1.6 Autogas (GLP) Titanium,10.9,  Gasolina,Unknown,                 99.000               ,"                              Palmas, Las             ",2017,https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-16-autogas-glp-titanium-en-palmas+las.htm?id=6828933,Focus,Ford
590,Citroen C3 1.6BlueHDi S&S Business 75,8.0,  Diesel,Unknown,                 122.000               ,                              Murcia             ,2018,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c3-16bluehdi-s_s-business-75-en-murcia.htm?id=6828921,C3,Citroen
591,Volkswagen Golf 1.4 Edition,8.5,  Gasolina,Unknown,                 160.000               ,                              Granada             ,2011,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-14-edition-en-granada.htm?id=6828849,Golf,Volkswagen
592,Fiat 500L 1.4 Urban,10.9,  Gasolina,Unknown,                 28.800               ,                              Pontevedra             ,2019,https://www.coches.com/coches-segunda-mano/ocasion-fiat-500l-14-urban-en-pontevedra.htm?id=6828841,500L,Fiat
593,Jeep Renegade 1.0 Longitude 4x2,19.3,  Gasolina,Unknown,                 0               ,                              Madrid             ,2022,https://www.coches.com/km0/seminuevo-jeep-renegade-10-longitude-4x2-en-madrid.htm?id=6828803,Renegade,Jeep
594,Renault Clio 1.2 Expression,2.15,  Gasolina,Unknown,                 122.000               ,                              Murcia             ,2001,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-12-expression-en-murcia.htm?id=6828781,Clio,Renault
595,Volvo C40 Recharge Twin Puro Eléctrico First Edition,51.245,  Eléctrico,Unknown,                 5               ,                              Valladolid             ,2021,https://www.coches.com/km0/seminuevo-volvo-c40-recharge-twin-puro-electrico-first-edition-en-valladolid.htm?id=6828769,C40,Volvo
596,Volvo XC40 T3 Momentum Pro Aut.,31.75,  Gasolina,Unknown,                 23.717               ,                              Valladolid             ,2021,https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc40-t3-momentum-pro-aut-en-valladolid.htm?id=6828767,XC40,Volvo
597,Volkswagen Golf 2.0 TSI GTI Performance 180kW,28.3,  Gasolina,Unknown,                 85.000               ,                              Madrid             ,2019,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-20-tsi-gti-performance-180kw-en-madrid.htm?id=6828741,Golf,Volkswagen
598,Mercedes Clase EE Cabrio 220CDI BE Aut.,16.99,  Diesel,Unknown,                 177.576               ,                              Madrid             ,2011,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+e-e-cabrio-220cdi-be-aut-en-madrid.htm?id=6828719,Clase,Mercedes
599,Fiat QuboQUBO 1.4 Easy,9.99,  Gasolina,Unknown,                 97.200               ,                              Tenerife             ,2017,https://www.coches.com/coches-segunda-mano/ocasion-fiat-qubo-qubo-14-easy-en-tenerife.htm?id=6828717,QuboQUBO,Fiat
600,Audi A1 Sportback 1.0 TFSI Adrenalin,12.995,  Gasolina,Unknown,                 88.300               ,"                              Palmas, Las             ",2016,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-10-tfsi-adrenalin-en-palmas+las.htm?id=6828609,A1,Audi
601,Bmw X5 xDrive 40e,30.81,  Híbrido,Unknown,                 72.199               ,                              Malaga             ,2016,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x5-xdrive-40e-en-malaga.htm?id=6828443,X5,Bmw
602,Renault Talisman 1.8dCi Blue Executive 110kW,24.455,  Diesel,Unknown,                 11.470               ,                              Madrid             ,2021,https://www.coches.com/coches-segunda-mano/ocasion-renault-talisman-18dci-blue-executive-110kw-en-madrid.htm?id=6828299,Talisman,Renault
603,Opel Mokka X 1.4T S&S Design Line 4x2,14.5,  Gasolina,Unknown,                 29.814               ,                              Barcelona             ,2019,https://www.coches.com/coches-segunda-mano/ocasion-opel-mokka-x-14t-s_s-design-line-4x2-en-barcelona.htm?id=6828003,Mokka,Opel
604,Renault Clio TCe Serie Limitada Limited 67kW,12.9,  Gasolina,Unknown,                 27.000               ,                              Pontevedra             ,2019,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-tce-serie-limitada-limited-67kw-en-pontevedra.htm?id=6827979,SerieTCe,Renault
605,Volkswagen Golf 2.0 TSI GTI Performance DSG7 180kW,29.9,  Gasolina,Unknown,                 39.000               ,"                              Palmas, Las             ",2018,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-20-tsi-gti-performance-dsg7-180kw-en-palmas+las.htm?id=6827913,Golf,Volkswagen
606,Alfa Romeo Tonale 1.5 MHEV Speciale FWD,39.99,  Gasolina,Unknown,                 1               ,                              Castellon             ,2022,https://www.coches.com/km0/seminuevo-alfa+romeo-tonale-15-mhev-speciale-fwd-en-castellon.htm?id=6827853,Romeo,Alfa
607,Ford Transit Cust…FT 270 L1 Van Trend 105,10.98,  Diesel,Unknown,                 263.000               ,                              Barcelona             ,2016,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit+custom-ft-270-l1-van-trend-105-en-barcelona.htm?id=6827839,Transit,Ford
608,Seat León ST 1.2 TSI S&S Style 110,10.995,  Gasolina,Unknown,                 61.000               ,"                              Palmas, Las             ",2015,https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-st-12-tsi-s_s-style-110-en-palmas+las.htm?id=6827829,León,Seat
609,Volvo S60 T4 Business Plus Aut.,33.39,  Gasolina,Unknown,                 4.253               ,                              Sevilla             ,2020,https://www.coches.com/km0/seminuevo-volvo-s60-t4-business-plus-aut-en-sevilla.htm?id=6827583,S60,Volvo
610,Seat León 2.0 TSI S&S DSG7 Cupra 290,26.6,  Gasolina,Unknown,                 34.226               ,                              Barcelona             ,2020,https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-20-tsi-s_s-dsg7-cupra-290-en-barcelona.htm?id=6827579,León,Seat
611,Citroen C3 1.0 VTi Attraction 68,6.9,  Gasolina,Unknown,                 97.639               ,                              Madrid             ,2013,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c3-10-vti-attraction-68-en-madrid.htm?id=6827435,C3,Citroen
612,Opel Astra Twin Top 1.6 Enjoy,3.65,  Gasolina,Unknown,                 252.407               ,                              Madrid             ,2006,https://www.coches.com/coches-segunda-mano/ocasion-opel-astra-twin-top-16-enjoy-en-madrid.htm?id=6827433,Astra,Opel
613,Land Rover Range … 2.0eD4 Pure 2WD 150,23.645,  Diesel,Unknown,                 43.609               ,                              Madrid             ,2016,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+evoque-20ed4-pure-2wd-150-en-madrid.htm?id=6827403,Rover,Land
614,Smart Fortwo Coupé 33CDI Passion Aut.,3.95,  Diesel,Unknown,                 186.138               ,                              Madrid             ,2007,https://www.coches.com/coches-segunda-mano/ocasion-smart-fortwo-coupe-33cdi-passion-aut-en-madrid.htm?id=6827325,Fortwo,Smart
615,Mercedes Clase SLSL 500 Aut.,17.5,  Gasolina,Unknown,                 148.405               ,                              Madrid             ,2005,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+sl-sl-500-aut-en-madrid.htm?id=6827309,Clase,Mercedes
616,Daewoo Matiz 1.0 Smile,2.55,  Gasolina,Unknown,                 96.383               ,                              Madrid             ,2004,https://www.coches.com/coches-segunda-mano/ocasion-daewoo-matiz-10-smile-en-madrid.htm?id=6827281,Matiz,Daewoo
617,Mini Mini Clubman Cooper SD,20.818,  Diesel,Unknown,                 46.566               ,                              Madrid             ,2018,https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-clubman-cooper-sd-en-madrid.htm?id=6827239,Mini,Mini
618,Jeep Grand Cherok… 5.7 V8 Hemi Overland Aut.,14.9,  Gasolina,Unknown,                 123.924               ,                              Madrid             ,2007,https://www.coches.com/coches-segunda-mano/ocasion-jeep-grand+cherokee-57-v8-hemi-overland-aut-en-madrid.htm?id=6827007,Grand,Jeep
619,Volvo V90 Cross C… B4 AWD Aut.,46.75,  Diesel,Unknown,                 13.849               ,                              Valladolid             ,2021,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v90+cross+country-b4-awd-aut-en-valladolid.htm?id=6826563,V90,Volvo
620,Bmw X5 3.0sdA,14.475,  Diesel,Unknown,                 168.022               ,                              Madrid             ,2007,https://www.coches.com/coches-segunda-mano/ocasion-bmw-x5-30sda-en-madrid.htm?id=6824077,X5,Bmw
621,Suzuki Wagon R Pl…Wagon R+ 1.3 GL,2.3,  Gasolina,Unknown,                 190.696               ,                              Madrid             ,2002,https://www.coches.com/coches-segunda-mano/ocasion-suzuki-wagon+r+plus-wagon-r+-13-gl-en-madrid.htm?id=6824047,Wagon,Suzuki
