make,model,price,fuel,year,kms,power,doors,shift,is_professional,province,link
CITROEN,C3,19800,Diésel,2022,890000,110,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-citroen-c3+aircross-bluehdi-s_s-feel-110-en-asturias.htm?id=6913147
FIAT,Punto,7600,Gasolina,2015,89975,69,3,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-fiat-punto-12-s_s-easy-51kw-e6-en-asturias.htm?id=6913145
CITROEN,C3,13300,Diésel,2019,17509,99,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c3-15bluehdi-s_s-feel-100-en-asturias.htm?id=6913141
DS,Ds4,49600,Híbrido,2021,8345,225,5,Automático,True,Unkown,https://www.coches.com/km0/seminuevo-ds-ds4-e-tense-rivoli-aut-225-en-asturias.htm?id=6913139
CITROEN,C5,32800,Híbrido,2020,10122,225,5,Automático,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c5+aircross-hybrid-shine-eat8-en-asturias.htm?id=6913153
CITROEN,C4,27700,Eléctrico,2021,4890,136,5,Automático,True,Unkown,https://www.coches.com/km0/seminuevo-citroen-c4-e---feel-100kw-en-asturias.htm?id=6913155
CITROEN,C4,17800,Diésel,2015,70429,115,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-grand-picasso-16e-hdi-intensive-115-en-asturias.htm?id=6913159
CITROEN,C3,18800,Gasolina,2021,100000,110,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-citroen-c3+aircross-puretech-s_s-feel-pack-110-en-asturias.htm?id=6913157
LAND ROVER,Range,21700,Diésel,2013,72200,190,3,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-range+rover+evoque-22l-sd4-dynamic-4x4-190-en-asturias.htm?id=6913149
CITROEN,C1,12200,Gasolina,2022,0,72,5,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-citroen-c1-10-vti-city-edition-72-en-asturias.htm?id=6917587
MERCEDES-BENZ,Clase B,11400,Diésel,2014,195790,109,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+b-b-180cdi-be-en-asturias.htm?id=6916453
OPEL,Astra,10300,Diésel,2013,115970,110,5,Manual,True,Unkown,https://www.coches.com/coches-segunda-mano/ocasion-opel-astra-st-17cdti-selective-en-asturias.htm?id=6913161
FORD,Fiesta,14456,Gasolina,2021,0,75,3,Manual,True,Unkown,https://www.coches.com/km0/seminuevo-ford-fiesta-11-ti-vct-trend-en-salamanca.htm?id=6484409
